workers time_ms speedup_abs speedup_rel parallel_fraction
1 10.0 0.9333 1.0 nan
2 8.0 1.1667 1.25 0.2857
4 8.0 1.1667 1.25 0.1905
8 10.333 0.9032 0.9677 -0.1224
16 12.0 0.7778 0.8333 -0.3048
32 17.0 0.549 0.5882 -0.8479
64 12.0 0.7778 0.8333 -0.2902
