workers time_ms speedup_abs speedup_rel parallel_fraction
1 6.667 1.4 1.0 nan
2 5.0 1.8667 1.3333 0.9286
4 12.333 0.7568 0.5405 -0.4286
8 18.333 0.5091 0.3636 -1.102
16 7.0 1.3333 0.9524 0.2667
32 29.333 0.3182 0.2273 -2.212
