workers time_ms speedup_abs speedup_rel parallel_fraction
1 722.667 1.0055 1.0 nan
2 683.333 1.0634 1.0576 0.1193
4 718.0 1.0121 1.0065 0.0159
8 592.667 1.2261 1.2193 0.2107
16 592.667 1.2261 1.2193 0.1967
32 553.0 1.314 1.3068 0.2467
64 550.667 1.3196 1.3123 0.246
