workers time_ms speedup_abs speedup_rel parallel_fraction
1 10.333 0.9032 1.0 nan
2 15.333 0.6087 0.6739 -1.2857
4 6.667 1.4 1.55 0.381
8 13.667 0.6829 0.7561 -0.5306
16 10.333 0.9032 1.0 -0.1143
32 14.333 0.6512 0.7209 -0.553
64 20.0 0.4667 0.5167 -1.161
