workers time_ms speedup_abs speedup_rel parallel_fraction
1 8142.333 0.9935 1.0 nan
2 4122.667 1.9622 1.975 0.9808
4 2112.0 3.8303 3.8553 0.9852
6 1638.333 4.9377 4.9699 0.957
