workers time_ms speedup_abs speedup_rel parallel_fraction
1 8286.0 0.9763 1.0 nan
2 4177.333 1.9366 1.9836 0.9672
4 2204.667 3.6693 3.7584 0.97
6 1537.0 5.2633 5.391 0.972
