workers time_ms speedup_abs speedup_rel parallel_fraction
1 662.0 1.0977 1.0 nan
2 577.333 1.2587 1.1467 0.411
4 561.667 1.2938 1.1786 0.3028
8 553.333 1.3133 1.1964 0.2726
16 565.333 1.2854 1.171 0.2368
32 535.333 1.3574 1.2366 0.2718
64 555.0 1.3093 1.1928 0.24
