workers time_ms speedup_abs speedup_rel parallel_fraction
1 630.0 1.1534 1.0 nan
2 626.333 1.1602 1.0059 0.2761
4 758.667 0.9578 0.8304 -0.0587
8 721.0 1.0079 0.8738 0.0089
16 684.333 1.0619 0.9206 0.0621
32 932.667 0.7791 0.6755 -0.2926
