platform,version,node_policy,dataset,workers,n_reps,mean_time_ms,accuracy,speedup_abs,speedup_rel,parallel_fraction_karp_flatt
maple,threaded,n/a,medium,2,3,683.333,27.57,1.0634,1.0576,0.1193
maple,threaded,n/a,medium,4,3,718.0,27.57,1.0121,1.0065,0.0159
maple,threaded,n/a,medium,8,3,592.667,27.57,1.2261,1.2193,0.2107
maple,threaded,n/a,medium,16,3,592.667,27.57,1.2261,1.2193,0.1967
maple,threaded,n/a,medium,32,3,553.0,27.57,1.314,1.3068,0.2467
maple,threaded,n/a,medium,64,3,550.667,27.57,1.3196,1.3123,0.246
maple,threaded,n/a,small,1,3,10.0,85.0,0.9333,1.0,
maple,threaded,n/a,small,2,3,8.0,85.0,1.1667,1.25,0.2857
maple,threaded,n/a,small,4,3,8.0,85.0,1.1667,1.25,0.1905
maple,threaded,n/a,small,8,3,10.333,85.0,0.9032,0.9677,-0.1224
maple,threaded,n/a,small,16,3,12.0,85.0,0.7778,0.8333,-0.3048
maple,threaded,n/a,small,32,3,17.0,85.0,0.549,0.5882,-0.8479
maple,threaded,n/a,small,64,2,12.0,85.0,0.7778,0.8333,-0.2902
